headword,CEFR,lemma
a,A1,a
a.m./A.M./am/AM,A1,a.m./A.M./am
abandon,B1,abandon
abandoned,B2,abandon
ability,A2,ability
able,B1,able
abnormal,B1,abnormal
abnormally,B2,abnormally
aboard,B1,aboard
abolish,B2,abolish
aboriginal,B2,aboriginal
aborigine,B1,aborigine
about,A1,about
about,A1,about
above,B1,above
above,A1,above
above,A1,above
abroad,A2,abroad
abruptly,B2,abruptly
absence,B1,absence
absent,B1,absent
absentee,B2,absentee
absolute,B1,absolute
absolutely,B1,absolutely
absorb,B1,absorb
abstract,B1,abstract
absurd,B2,absurd
abundance,B1,abundance
abundant,B1,abundant
abuse,B2,abuse
academic,B1,academic
academy,B1,academy
accent,B1,accent
accept,A2,accept
acceptable,A2,acceptable
acceptance,B1,acceptance
access,B1,access
access,B2,access
accessibility,B2,accessibility
accessible,B1,accessible
accessory,B1,accessory
accident,A2,accident
accidental,B1,accidental
accidentally,B1,accidentally
accommodation,B2,accommodation
accompany,B1,accompany
accomplish,B1,accomplish
according to,B1,accord
accordingly,B2,accordingly
account,A2,account
account,B1,account
accountant,B1,accountant
accumulate,B2,accumulate
accuracy,B1,accuracy
accurate,B1,accurate
accurately,B1,accurately
accusation,B2,accusation
accuse,B1,accuse
accustom,B1,accustom
ache,B1,ache
ache,B2,ache
achievable,B2,achievable
achieve,A2,achieve
achievement,B1,achievement
acid,B2,acid
acknowledge,B1,acknowledge
acknowledgment/acknowledgement,B1,acknowledgment
acquaintance,B1,acquaintance
acquire,B1,acquire
acquisition,B2,acquisition
across,A2,across
across,A2,across
act,A2,act
act,B1,act
action,A1,action
active,B1,active
actively,B2,actively
activity,A1,activity
actor,A1,actor
actress,B1,actress
actual,B2,actual
actually,A2,actually
acute,B2,acute
ad,B1,ad
adapt,B1,adapt
adaptable,B2,adaptable
add,A1,add
addict,B2,addict
addicted,B2,addict
addiction,B2,addiction
addition,A2,addition
additional,A2,additional
additionally,B2,additionally
address,A1,address
address,B1,address
addressee,B1,addressee
adequate,B2,adequate
adequately,B2,adequately
adjective,A2,adjective
adjust,A2,adjust
adjustment,B2,adjustment
administration,B1,administration
administrative,B2,administrative
admirable,B2,admirable
admiration,B1,admiration
admire,A2,admire
admiringly,B2,admiringly
admission,B1,admission
admit,A2,admit
admittedly,B2,admittedly
adopt,B1,adopt
adopted,B2,adopt
adoption,B2,adoption
adorable,B1,adorable
adore,B2,adore
adorn,B2,adorn
adult,A2,adult
adult,A2,adult
advance,B2,advance
advance,B1,advance
advanced,A2,advance
advancement,B2,advancement
advantage,A2,advantage
advent,B2,advent
adventure,A2,adventure
adventurous,B2,adventurous
adverb,B1,adverb
adverbial,B1,adverbial
adverse,B2,adverse
adversely,B2,adversely
adversity,B2,adversity
advert,B1,advert
advertise,B1,advertise
advertisement,A2,advertisement
advertising,A2,advertise
advice,A2,advice
advise,A2,advise
adviser/advisor,B1,adviser
aerobics,B1,aerobics
affair,A2,affair
affect,B1,affect
affection,B1,affection
affectionate,B2,affectionate
affectionately,B2,affectionately
afford,B1,afford
affordable,B2,affordable
afraid,A1,afraid
after,A2,after
after,B1,after
after,A1,after
afternoon,A1,afternoon
afterward,B1,afterward
afterwards,B1,afterwards
again,A1,again
against,A2,against
age,A1,age
aged,A2,aged
ageless,B2,ageless
agency,A2,agency
agenda,B1,agenda
agent,A2,agent
aggressive,B1,aggressive
aggressively,B2,aggressively
ago,A1,ago
agonize/agonise,B2,agonize
agony,B2,agony
agree,A1,agree
agreement,B1,agreement
agricultural,B1,agricultural
agriculture,B1,agriculture
ahead,A2,ahead
aid,B1,aid
aid,B1,aid
aim,B1,aim
aim,B2,aim
air,A2,air
air conditioning,B1,air
air force,B1,air
aircraft,B2,aircraft
aircrew,B2,aircrew
airline,B1,airline
airplane/aeroplane,A1,airplane
airport,A1,airport
aisle,A2,aisle
alarm,A2,alarm
alarm,B1,alarm
alarm clock,A2,alarm
album,A1,album
alcohol,B1,alcohol
alcoholic,B1,alcoholic
alcoholic,B2,alcoholic
alcoholism,B2,alcoholism
alert,B2,alert
alike,B1,alike
alike,B1,alike
alive,A2,alive
all,A2,all
all,A1,all
all,A1,all
all right,A1,all
all right,A1,all
allegation,B2,allegation
allergic,B1,allergic
alliance,B2,alliance
allow,A2,allow
allowance,B1,allowance
ally,B2,ally
almost,A1,almost
alone,A2,alone
alone,A1,alone
along,A1,along
along,A2,along
alongside,B2,alongside
aloud,B1,aloud
alphabet,B1,alphabet
alphabetical,B2,alphabetical
already,A1,already
alright,A2,alright
alright,A2,alright
also,A1,also
altar,B2,altar
alter,B2,alter
alternate,B2,alternate
alternative,B1,alternative
alternative,B1,alternative
alternatively,B2,alternatively
although,A2,although
altitude,B2,altitude
altogether,B1,altogether
aluminum/aluminium,B2,aluminum
always,A1,always
am,A1,be
amaze,B2,amaze
amazed,B1,amazed
amazement,B2,amazement
amazing,B1,amazing
amazingly,B2,amazingly
ambassador,B2,ambassador
ambiguity,B2,ambiguity
ambiguous,B2,ambiguous
ambition,A2,ambition
ambitious,B1,ambitious
ambulance,B1,ambulance
ammonia,B2,ammonia
among,A2,among
amongst,B2,amongst
amount,B1,amount
ample,B2,ample
amplifier,B2,amplifier
amplify,B2,amplify
amuse,B2,amuse
amused,A2,amuse
amusement,A2,amusement
amusing,B1,amusing
an,A1,an
analogy,B2,analogy
analysis,B1,analysis
analyst,B2,analyst
analyze/analyse,B1,analyze
ancestor,A2,ancestor
anchor,B2,anchor
anchorage,B2,anchorage
anchorman,B2,anchorman
anchorperson,B2,anchorperson
ancient,A2,ancient
and,A1,and
angel,A2,angel
anger,B1,anger
angle,B1,angle
angrily,A2,angrily
angry,A1,angry
anguish,B2,anguish
animal,A1,animal
animate,B2,animate
animated,B1,animate
animation,B1,animation
ankle,A2,ankle
anniversary,A2,anniversary
announce,B1,announce
announcement,B1,announcement
annoy,A2,annoy
annoyance,B1,annoyance
annoyed,B1,annoyed
annoying,A2,annoying
annual,B1,annual
annually,B1,annually
anonymous,B2,anonymous
another,A1,another
another,A2,another
answer,A1,answer
answer,A1,answer
ant,B1,ant
anti,B1,anti
antiaircraft,B2,antiaircraft
antibacterial,B2,antibacterial
anticancer,B2,anticancer
anticipate,B2,anticipate
anticipation,B2,anticipation
antipollution,B2,antipollution
antique,B2,antique
antique,B1,antique
antistatic,B2,antistatic
antivirus,B2,antivirus
antonym,B1,antonym
anxiety,B1,anxiety
anxious,A2,anxious
anxiously,B1,anxiously
any,A1,any
any,A1,any
anybody,A1,anybody
anyhow,B1,anyhow
anymore,A2,anymore
anyone,A1,anyone
anything,A1,anything
anyway,A2,anyway
anywhere,A2,anywhere
apart,A2,apart
apartment,A2,apartment
ape,B1,ape
apologize/apologise,A2,apologize
apology,B1,apology
apostrophe,B2,apostrophe
apparent,B1,apparent
apparently,A2,apparently
appeal,B1,appeal
appeal,B2,appeal
appear,A2,appear
appearance,A2,appearance
appetite,B1,appetite
applaud,B1,applaud
applause,B1,applause
apple,A1,apple
applicant,B2,applicant
application,B1,application
apply,A2,apply
appoint,B1,appoint
appointment,A2,appointment
appreciate,A2,appreciate
appreciation,B1,appreciation
appreciative,B2,appreciative
approach,B1,approach
approach,B2,approach
appropriate,A2,appropriate
appropriately,B2,appropriately
approval,B1,approval
approve,B1,approve
approximate,B2,approximate
approximately,B1,approximately
April,A1,April
apron,A1,apron
arch,B2,arch
archaeologist/archeologist,B2,archaeologist
architect,B1,architect
architecture,A2,architecture
arctic,B2,arctic
are,A1,be
area,A2,area
arena,B2,arena
argue,A2,argue
argument,A2,argument
arise,B1,arise
aristocracy,B2,aristocracy
arithmetic,B1,arithmetic
arm,A1,arm
arm,B1,arm
armchair,A2,armchair
armed,A2,arm
armful,B2,armful
army,B1,army
around,A2,around
around,A1,around
arouse,B2,arouse
arrange,B1,arrange
arrangement,B1,arrangement
arrest,B1,arrest
arrest,B1,arrest
arrival,B1,arrival
arrive,A1,arrive
arrogant,B2,arrogant
arrow,B1,arrow
art,A1,art
artery,B2,artery
article,A1,article
articulate,B2,articulate
artificial,A2,artificial
artificially,B2,artificially
artist,B1,artist
artistic,B1,artistic
artistry,B2,artistry
as,A2,as
as,A1,as
ash,B2,ash
ashamed,B1,ashame
aside,B1,aside
ask,A1,ask
asleep,A2,asleep
aspect,B1,aspect
aspiration,B2,aspiration
aspire,B2,aspire
aspirin,B1,aspirin
assault,B2,assault
assemble,B2,assemble
assembly,B2,assembly
assert,B2,assert
assess,B2,assess
assessment,B2,assessment
assign,B1,assign
assignment,B1,assignment
assist,B1,assist
assistance,B1,assistance
assistant,A2,assistant
assistant,B1,assistant
associate,B1,associate
association,A2,association
assume,B1,assume
assumption,B2,assumption
assurance,B2,assurance
assure,B2,assure
astonish,B2,astonish
astonished,B2,astonish
astonishing,B2,astonishing
astonishment,B2,astonishment
astronaut,A2,astronaut
astronomer,B1,astronomer
astronomy,B2,astronomy
at,A1,at
athlete,A2,athlete
athletic,B1,athletic
athletics,B2,athletic
Atlantic,B1,Atlantic
atmosphere,B1,atmosphere
atom,A2,atom
atomic,B1,atomic
attach,B1,attach
attached,B2,attach
attachment,B1,attachment
attack,A2,attack
attack,A2,attack
attain,B1,attain
attainable,B2,attainable
attainment,B2,attainment
attempt,A2,attempt
attempt,B1,attempt
attend,B1,attend
attendance,B2,attendance
attention,A2,attention
attentive,B2,attentive
attentively,B2,attentively
attitude,A2,attitude
attract,B1,attract
attraction,B1,attraction
attractive,A2,attractive
attractiveness,B2,attractiveness
attribute,B2,attribute
attribute,B2,attribute
atypical,B2,atypical
aubergine,B2,aubergine
audience,A2,audience
audio,A2,audio
audit,B2,audit
audition,B2,audition
August,A1,August
aunt,A1,aunt
author,A2,author
authoritative,B2,authoritative
authority,B1,authority
authorize/authorise,B2,authorize
automatic,A2,automatic
automatically,A2,automatically
autumn,A1,autumn
auxiliary,B1,auxiliary
availability,B2,availability
available,B1,available
avenue,B1,avenue
average,A2,average
average,A2,average
avoid,A2,avoid
await,B2,await
awake,A1,awake
award,A2,award
award,B1,award
aware,B1,aware
awareness,B1,awareness
away,A1,away
awe,B2,awe
awesome,B1,awesome
awful,A2,awful
awkward,B1,awkward
ax/axe,B2,ax
axis,B2,axis
baby,A1,baby
babysit,B1,babysit
babysitter,B1,babysitter
back,A2,back
back,A1,back
back,A1,back
back,B1,back
backache,B1,backache
background,A2,background
backpack,B1,backpack
backpacker,B1,backpacker
backpacking,B1,backpack
backup,B2,backup
backward/backwards,B2,backward
backyard,B2,backyard
bacon,B1,bacon
bad,A1,bad
badge,B2,badge
badly,A2,badly
badminton,A2,badminton
bad-tempered,B2,bad
bag,A1,bag
baggage,B1,baggage
bake,A2,bake
baker,B1,baker
bakery,B1,bakery
balance,B1,balance
balance,B2,balance
balanced,B2,balanced
balcony,A2,balcony
bald,B1,bald
balky,B2,balky
ball,A1,ball
ballad,B2,ballad
ballet,B2,ballet
balloon,A2,balloon
ballot,B2,ballot
ban,B2,ban
ban,B2,ban
banana,A1,banana
band,A1,band
bandage,B1,bandage
bang,B1,bang
bang,B1,bang
bank,A1,bank
bank,A2,bank
bank account,B1,bank
banker,B2,banker
banking,A2,banking
bankrupt,B2,bankrupt
bankruptcy,B2,bankruptcy
bar,A1,bar
bar,B1,bar
barbecue,A2,barbecue
barbecue,B1,barbecue
barber,A2,barber
barbershop,B2,barbershop
bare,B1,bare
bare,B2,bare
barely,B1,barely
bargain,A2,bargain
bargain,B2,bargain
bark,B1,bark
bark,B2,bark
barley,B2,barley
barman,B1,barman
barn,B2,barn
barometer,B2,barometer
barrel,B1,barrel
barren,B2,barren
barrier,B2,barrier
bartender,B2,bartender
base,A2,base
base,B1,base
baseball,A1,baseball
basement,B1,basement
basic,A2,basic
basically,A2,basically
basin,B1,basin
basis,B1,basis
basket,A2,basket
basketball,A1,basketball
bat,A1,bat
bat,B1,bat
batch,A2,batch
bath,A1,bath
bathe,B1,bathe
bathhouse,B2,bathhouse
bathroom,A1,bathroom
battery,A2,battery
battle,B1,battle
battlefield,B2,battlefield
bay,A2,bay
be,A1,be
beach,A1,beach
beagle,B2,beagle
beak,B2,beak
beam,B2,beam
bean,A1,bean
bear,A1,bear
bear,A2,bear
beard,B1,beard
bearing,B2,bear
beast,B1,beast
beat,B2,beat
beat,B1,beat
beautiful,A1,beautiful
beautifully,B1,beautifully
beautify,B2,beautify
beauty,A2,beauty
beaver,B1,beaver
because,A1,because
because of,B1,because
become,A1,become
bed,A1,bed
bedroom,A1,bedroom
bedside,B1,bedside
bee,A1,bee
beef,A1,beef
been,A2,be
beer,A2,beer
before,A1,before
before,A2,before
before,A1,before
beg,A2,beg
begin,A1,begin
beginner,A2,beginner
beginning,A2,begin
behalf,B1,behalf
behave,B1,behave
behavior/behaviour,A2,behavior
behind,A1,behind
behind,A1,behind
being,A2,be
belief,B1,belief
believe,A1,believe
bell,A1,bell
bellow,B2,bellow
belly,A2,belly
belong,A2,belong
belongings,B2,belonging
beloved,B1,belove
below,A1,below
below,A1,below
belt,A2,belt
bench,A2,bench
bend,B2,bend
bend,A2,bend
beneath,B1,beneath
beneficial,B2,beneficial
benefit,B1,benefit
benefit,B2,benefit
benevolence,B2,benevolence
benevolent,B2,benevolent
bent,B1,bent
berry,B2,berry
beside,A1,beside
besides,A2,besides
besides,B1,besides
best,A1,well
best,A1,well
bestow,B2,bestow
bestseller,B2,bestseller
bet,B1,bet
betray,B2,betray
better,A1,well
better,A2,well
between,A1,between
bewilder,B2,bewilder
bewilderment,B2,bewilderment
beyond,A2,beyond
bicycle,A1,bicycle
bid,B2,bid
bidding,B2,bidding
big,A1,big
bike,A1,bike
bikini,B2,bikini
bilingual,B1,bilingual
bill,A2,bill
bill,B1,bill
billion,B2,billion
bin,B1,bin
bind,B2,bind
bio,B2,bio
biochemistry,B1,biochemistry
biography,B1,biography
biological,B2,biological
biology,B1,biology
biotechnology,B2,biotechnology
bird,A1,bird
birdcage,B2,birdcage
birth,A1,birth
birthday,A1,birthday
birthplace,B2,birthplace
biscuit,A1,biscuit
bishop,B1,bishop
bit,A2,bit
bite,A2,bite
bite,B1,bite
bitter,B1,bitter
bitterly,B2,bitterly
bizarre,B2,bizarre
black,A1,black
black,A1,black
blackboard,A2,blackboard
blade,B2,blade
blame,B1,blame
blame,A2,blame
blank,A1,blank
blanket,A2,blanket
blast,B2,blast
blast,B2,blast
blaze,B2,blaze
blaze,B2,blaze
bleed,B1,bleed
blend,B2,blend
blend,B1,blend
bless,B1,bless
blessing,B1,blessing
blind,B1,blind
blindly,B2,blindly
blindness,B2,blindness
blink,B2,blink
block,A1,block
block,B1,block
blog,B1,blog
blogger,B1,blogger
blonde,A2,blonde
blood,A2,blood
bloodstream,B2,bloodstream
bloody,B2,bloody
bloody,B2,bloody
bloom,A2,bloom
blooming,B2,bloom
blossom,B2,blossom
blow,A2,blow
blow,A1,blow
blue,A1,blue
blue,A1,blue
blur,B2,blur
blurt,B2,blurt
blush,B1,blush
blush,B2,blush
board,A1,board
board,B1,board
board game,A2,board
boast,B1,boast
boat,A1,boat
body,A1,body
boil,A2,boil
boiled,A2,boil
boiling,B2,boil
bold,B1,bold
bold,B2,bold
boldly,B1,boldly
bolt,B2,bolt
bolt,B2,bolt
bomb,B1,bomb
bomb,B1,bomb
bombard,B2,bombard
bomber,B2,bomber
bombing,B2,bombing
bond,B1,bond
bone,A1,bone
bonus,A2,bonus
bony,B2,bony
book,A1,book
book,B1,book
bookcase,A2,bookcase
booking,B1,book
bookish,B2,bookish
booklet,B2,booklet
bookmark,B2,bookmark
bookmark,B2,bookmark
bookshelf,A2,bookshelf
bookshop,A2,bookshop
bookstore,A1,bookstore
boom,B1,boom
boost,B2,boost
boost,B2,boost
boot,B1,boot
booth,B2,booth
border,B1,border
bore,B1,bore
bored,A2,bore
boredom,B1,boredom
boring,A1,bore
borrow,A1,borrow
boss,A2,boss
bossy,B2,bossy
botany,B2,botany
both,A1,both
both,A1,both
both,A1,both
bother,B1,bother
bother,A2,bother
bothered,B2,bother
bothersome,B2,bothersome
bottle,A1,bottle
bottle,B2,bottle
bottom,A1,bottom
bounce,B2,bounce
bounce,B1,bounce
bound,B1,bind
bourbon,B2,bourbon
bow,B1,bow
bow,B2,bow
bowl,A1,bowl
bowl,B1,bowl
box,A1,box
boxer,B2,boxer
boxing,B1,box
boy,A1,boy
boyfriend,A1,boyfriend
bra,A2,bra
bracelet,B1,bracelet
bracket,B2,bracket
brag,B2,brag
brain,A1,brain
brainstorm,A2,brainstorm
brainstorming,B1,brainstorm
brake,A2,brake
brake,B2,brake
branch,A2,branch
branch,B1,branch
